,noise_accuracy,denoise_accuracy,noise_error,denoise_error,singular_value_count,random_seed
0,0.37128353879622916,0.5271936185641769,662.4810655828526,150.26907167378687,3,442887188
1,0.38578680203045684,0.5148658448150834,662.2168896069016,150.81575389525523,3,370340492
2,0.406816533720087,0.5206671501087745,662.5314031975989,150.9843977419197,3,2006835219
3,0.3792603335750544,0.5039883973894126,661.0369925218097,150.55899211346468,3,1134970217
4,0.36838288614938364,0.5177664974619289,660.9356579089268,150.6964196429727,3,1473264029
5,0.3567802755620014,0.5337200870195794,661.0974420713545,151.1657669878612,3,1948385189
6,0.39593908629441626,0.5271936185641769,660.976378432006,150.5808357986082,3,122144823
7,0.38941261783901376,0.5177664974619289,661.1173128244603,150.60285127548661,3,1092436747
8,0.37128353879622916,0.5184916606236403,662.4384150919803,150.90981440483534,3,1307136435
9,0.36548223350253806,0.5170413343002176,662.7998378634238,150.6330423985916,3,1499467591
10,0.4002900652646846,0.5387962291515591,662.5246492209117,150.78632683524705,3,300187989
11,0.3770848440899202,0.4815083393763597,662.4395634888072,150.81244473823716,3,1670371326
12,0.3821609862218999,0.4938361131254532,662.0231621650679,150.65950878842136,3,688702434
13,0.3792603335750544,0.5445975344452502,661.5255273109196,150.7912240704412,3,1272167497
14,0.3995649021029732,0.5511240029006527,661.5985366655269,150.9359825472429,3,1149467179
15,0.36258158085569253,0.5126903553299492,662.5010394849589,150.7086510063651,3,1614125866
16,0.378535170413343,0.5018129079042785,662.853759665793,150.52994453728078,3,1639381113
17,0.38796229151559103,0.5438723712835388,663.0672149178336,150.2243092396207,3,6553851
18,0.36548223350253806,0.5257432922407542,663.4030091619796,150.92074443539028,3,1738120702
19,0.36475707034082666,0.5003625815808557,663.2909643576385,151.18099069686915,3,2036615128
20,0.4010152284263959,0.5134155184916607,663.5416411059177,151.1004184934187,3,1592163310
21,0.3799854967367658,0.49891225525743294,663.233708871434,151.05145857615236,3,853889789
22,0.3843364757070341,0.4851341551849166,663.0501486976756,150.65910968306113,3,466061389
23,0.3749093546047861,0.4880348078317622,662.4756942970937,150.44137917766886,3,1435860130
24,0.37055837563451777,0.5097897026831038,662.5516083199615,150.13069670375137,3,1243505819
25,0.36258158085569253,0.5025380710659898,661.0828769657796,150.1271058604856,3,755245461
26,0.4002900652646846,0.5192168237853517,660.8592643002052,150.51214056825168,3,1617311823
27,0.38578680203045684,0.4938361131254532,660.7745284940112,150.8008087368134,3,1644369582
28,0.3770848440899202,0.564902102973169,660.4262819190977,150.80129540391266,3,2021528044
29,0.36838288614938364,0.5402465554749819,659.6183023751656,150.70531681183877,3,248482490
30,0.378535170413343,0.4619289340101523,659.4564755948711,150.36163106271698,3,1326065449
31,0.36548223350253806,0.5322697606961566,658.9218062184648,149.71032499681306,3,1463078165
32,0.4002900652646846,0.46337926033357507,658.0858472476847,150.06997552960286,3,708291528
33,0.3930384336475707,0.467005076142132,657.0699111222268,150.13299732185348,3,1424144746
34,0.36475707034082666,0.4720812182741117,656.4039259337767,149.97997740185906,3,632657716
35,0.3828861493836113,0.5177664974619289,656.2306093629064,149.94106096555157,3,413104021
36,0.3836113125453227,0.4713560551124003,655.8792317135903,150.3929083116715,3,157950880
37,0.37055837563451777,0.5250181290790428,655.4660074904762,150.15628511513052,3,1530363856
38,0.38506163886874545,0.5025380710659898,655.8478971356334,149.95187137142253,3,227230531
39,0.38071065989847713,0.5213923132704859,656.0283007043378,150.0803150329049,3,1434783342
40,0.37055837563451777,0.5119651921682379,656.5000739439753,150.00348955980414,3,753353548
41,0.36113125453226974,0.5192168237853517,657.1586379842661,149.58770032569257,3,1797269939
42,0.36548223350253806,0.536620739666425,657.5155613741456,149.89402578515302,3,1565590275
43,0.38723712835387963,0.508339376359681,656.8191707200056,149.74862003563408,3,1858425228
44,0.3575054387237128,0.5308194343727338,656.9679568034384,149.6659823375382,3,1646443842
45,0.3799854967367658,0.5134155184916607,656.2475767290344,149.2051675502542,3,86532689
46,0.369108049311095,0.5250181290790428,656.0518450377418,149.82987849308097,3,893550389
47,0.40609137055837563,0.5199419869470631,656.2604755379518,149.81619812678164,3,404357463
48,0.3589557650471356,0.4706308919506889,656.8164680587904,149.9298442584552,3,1351615448
49,0.3778100072516316,0.4626540971718637,656.6349068940646,149.67739614903542,3,1338365196
50,0.3589557650471356,0.5358955765047135,656.7922966020476,149.77959732451706,3,1846197236
51,0.37128353879622916,0.47788252356780275,656.2508096940772,150.01831747188018,3,475161547
52,0.36620739666424945,0.5126903553299492,656.5620273896624,149.67805430072895,3,486352700
53,0.3633067440174039,0.485859318346628,657.0836625475664,149.87174213343297,3,675082367
54,0.4024655547498187,0.5010877447425671,657.6366838893873,150.13485607396177,3,1318769023
55,0.3792603335750544,0.48005801305293694,658.7862476759665,150.6109298865934,3,355940298
56,0.3640319071791153,0.49673676577229875,660.8163256410209,150.63162514503048,3,1027381063
57,0.3567802755620014,0.4757070340826686,659.9950272743357,150.09713099700625,3,1986414029
58,0.3944887599709935,0.5032632342277013,660.0025514083055,150.33404258225943,3,321790707
59,0.3582306018854242,0.5155910079767948,660.1187244423007,150.19283100642397,3,1094404425
60,0.3799854967367658,0.5155910079767948,659.9112099668652,149.97165975318526,3,1513181856
61,0.38941261783901376,0.4945612762871646,658.8021583534985,150.0545893594452,3,794090055
62,0.38868745467730237,0.5445975344452502,659.8046200146092,150.097441606652,3,1360394584
63,0.36258158085569253,0.5358955765047135,660.6221155164814,150.2661068658642,3,901383862
64,0.36838288614938364,0.467005076142132,661.0178734783973,149.87084990245432,2,182096632
