,accuracy_cauchy,accuracy_gauss,accuracy_laplace,accuracy_mixed,error_denoise_cauchy,error_denoise_gauss,error_denoise_laplace,error_denoise_mixed,error_noise_cauchy,error_noise_gauss,error_noise_laplace,error_noise_mixed,random_state,random_state_labels,value_count_cauchy,value_count_gauss,value_count_laplace,value_count_mixed,window_start_index
82,0.3763596809282089,0.3538796229151559,0.32414793328498914,0.38578680203045684,771.4419761040216,619.9209007084771,879.7097211679334,990.4599390635872,771.4419761040216,619.9209007084771,879.7097211679334,990.4599390635872,1652813683,1173222463,0,0,0,0,7872
83,0.43582306018854244,0.34590282813633066,0.39086294416243655,0.36258158085569253,759.0735395871267,621.2191918621662,875.2155395495315,980.2271537247877,759.0735395871267,621.2191918621662,875.2155395495315,980.2271537247877,858557497,1173222463,0,0,0,0,7968
84,0.36838288614938364,0.3988397389412618,0.36548223350253806,0.3401015228426396,767.9270274061222,620.6220950688249,878.8775638242607,987.8488158879386,767.9270274061222,620.6220950688249,878.8775638242607,987.8488158879386,870186830,1173222463,0,0,0,0,8064
85,0.38578680203045684,0.3546047860768673,0.35170413343002177,0.3546047860768673,766.52128088864,621.6038698296417,878.5062961950148,986.7533482138713,766.52128088864,621.6038698296417,878.5062961950148,986.7533482138713,695565020,1173222463,0,0,0,0,8160
86,0.3575054387237128,0.34082668600435095,0.3488034807831762,0.32414793328498914,769.5344439533714,621.8086768379875,882.8787606222452,990.0092329442467,769.5344439533714,621.8086768379875,882.8787606222452,990.0092329442467,753793849,1173222463,0,0,0,0,8256
87,0.43147208121827413,0.3734590282813633,0.34517766497461927,0.34227701232777374,761.332218214963,623.3475550173433,881.9065278520561,983.7390515819244,761.332218214963,623.3475550173433,881.9065278520561,983.7390515819244,1316701162,1173222463,0,0,0,0,8352
88,0.38506163886874545,0.34590282813633066,0.38506163886874545,0.34300217548948514,766.8744358194028,625.5720129726346,883.4404623651542,989.935131559446,766.8744358194028,625.5720129726346,883.4404623651542,989.935131559446,1935338831,1173222463,0,0,0,0,8448
89,0.3589557650471356,0.35242929659173317,0.350253807106599,0.3299492385786802,765.5864315600292,625.8428604565981,884.4725874062096,988.5817663556962,765.5864315600292,625.8428604565981,884.4725874062096,988.5817663556962,986520637,1173222463,0,0,0,0,8544
90,0.3778100072516316,0.34517766497461927,0.3560551124002901,0.34807831762146485,769.2408760223735,625.4114117740619,884.3097165641985,992.6924045705838,769.2408760223735,625.4114117740619,884.3097165641985,992.6924045705838,197867473,1173222463,0,0,0,0,8640
91,0.359680928208847,0.4227701232777375,0.36620739666424945,0.3488034807831762,768.7812642052197,623.9831941796223,884.1595072351987,989.925594237178,768.7812642052197,623.9831941796223,884.1595072351987,989.925594237178,1769640377,1173222463,0,0,0,0,8736
92,0.41479332849891226,0.3589557650471356,0.3248730964467005,0.34590282813633066,760.1583129233045,623.7198950211002,882.8961336865102,983.5256716783528,760.1583129233045,623.7198950211002,882.8961336865102,983.5256716783528,440668753,1173222463,0,0,0,0,8832
93,0.4517766497461929,0.3488034807831762,0.34662799129804206,0.34227701232777374,758.74014008456,623.1799051609379,880.9886688345914,982.6116006792827,758.74014008456,623.1799051609379,880.9886688345914,982.6116006792827,1394847541,1173222463,0,0,0,0,8928
94,0.3741841914430747,0.3770848440899202,0.36548223350253806,0.36113125453226974,768.3622062803202,623.3554946288723,880.7298554105871,989.2923589243868,768.3622062803202,623.3554946288723,880.7298554105871,989.2923589243868,696384454,1173222463,0,0,0,0,9024
95,0.41406816533720087,0.4017403915881073,0.3734590282813633,0.3299492385786802,755.564798287764,621.7264471028931,877.0213362225331,979.405068929648,755.564798287764,621.7264471028931,877.0213362225331,979.405068929648,46653467,1173222463,0,0,0,0,9120
96,0.36693255982596085,0.3292240754169688,0.34517766497461927,0.3828861493836113,760.3669980430631,622.3026341671696,880.2468961349258,982.0638717758434,760.3669980430631,622.3026341671696,880.2468961349258,982.0638717758434,1734212074,1173222463,0,0,0,0,9216
97,0.42857142857142855,0.3538796229151559,0.33720087019579403,0.3567802755620014,764.7207775069892,624.4680198609619,880.1934887751838,987.9651843882715,764.7207775069892,624.4680198609619,880.1934887751838,987.9651843882715,489621931,1173222463,0,0,0,0,9312
98,0.38578680203045684,0.3821609862218999,0.3248730964467005,0.3734590282813633,767.7616125866122,624.6975301130544,881.6037302664427,988.9227171952389,767.7616125866122,624.6975301130544,881.6037302664427,988.9227171952389,994490177,1173222463,0,0,0,0,9408
99,0.40464104423495284,0.3741841914430747,0.34372733865119653,0.33720087019579403,759.8148731382713,626.0479026109883,881.7824064868499,983.8793673269117,759.8148731382713,626.0479026109883,881.7824064868499,983.8793673269117,1182251626,1173222463,0,0,0,0,9504
100,0.37200870195794056,0.38071065989847713,0.34155184916606235,0.36475707034082666,758.9556740289811,625.7616694019536,884.9517704662243,983.9907452704505,758.9556740289811,625.7616694019536,884.9517704662243,983.9907452704505,1834054771,1173222463,0,0,0,0,9600
101,0.3640319071791153,0.3582306018854242,0.331399564902103,0.3734590282813633,767.5293005336546,625.5655567145701,887.5214312171636,990.4166913344069,767.5293005336546,625.5655567145701,887.5214312171636,990.4166913344069,478213717,1173222463,0,0,0,0,9696
102,0.3937635968092821,0.3988397389412618,0.37200870195794056,0.359680928208847,762.052260085732,626.5174963390298,886.957543133322,986.7454473768913,762.052260085732,626.5174963390298,886.957543133322,986.7454473768913,1967912781,1173222463,0,0,0,0,9792
103,0.40899202320522116,0.30819434372733867,0.359680928208847,0.3386511965192168,756.3449400089988,627.8547279298419,885.3523125222541,984.2353621497358,756.3449400089988,627.8547279298419,885.3523125222541,984.2353621497358,1584205688,1173222463,0,0,0,0,9888
104,0.3393763596809282,0.3546047860768673,0.32414793328498914,0.36693255982596085,767.7768710554647,626.0963833219887,887.3523990316598,990.8681595948178,767.7768710554647,626.0963833219887,887.3523990316598,990.8681595948178,605274726,1173222463,0,0,0,0,9984
105,0.38506163886874545,0.32704858593183467,0.3640319071791153,0.3328498912255257,763.9321695781236,625.8164087263275,885.4625058004419,986.6953433083123,763.9321695781236,625.8164087263275,885.4625058004419,986.6953433083123,2054776138,1173222463,0,0,0,0,10080
