,accuracy_cauchy,accuracy_gauss,accuracy_laplace,accuracy_mixed,error_denoise_cauchy,error_denoise_gauss,error_denoise_laplace,error_denoise_mixed,error_noise_cauchy,error_noise_gauss,error_noise_laplace,error_noise_mixed,random_state,random_state_labels,value_count_cauchy,value_count_gauss,value_count_laplace,value_count_mixed,window_start_index
228,0.5663524292965917,0.5989847715736041,0.5503988397389412,0.36185641769398114,113.7857865341923,83.26831573464341,85.33491839367976,85.8168931172535,482.0113060515604,196.47096194301878,277.7510078051873,520.3413121875896,1533813586,1173222463,21,2,2,1,21888
229,0.6047860768672951,0.8491660623640319,0.32414793328498914,0.32414793328498914,112.53261289992506,82.33672164443578,85.16079293634627,85.40658300456536,485.71938805929545,197.2171187704515,280.628543789685,524.4773864614017,839698735,1173222463,21,3,1,1,21984
230,0.7737490935460478,0.5844815083393764,0.36838288614938364,0.31762146482958664,108.99947644892158,82.53233078240844,84.45328652186997,84.80970269487885,476.75682197578726,197.6157692550443,278.6848494264684,515.4600978694235,1311682643,1173222463,21,2,1,1,22080
231,0.5612762871646121,0.6011602610587382,0.3640319071791153,0.32777374909354606,110.05277364813307,82.16503014857841,84.19331052153592,84.35845305239071,481.83477809053693,197.069191107789,280.1152068446337,520.4770788661051,1661378943,1173222463,20,2,1,1,22176
232,0.4851341551849166,0.7048585931834663,0.32414793328498914,0.32704858593183467,115.15404372168052,82.62019273664671,84.98049014017778,85.05615882971945,495.3952885347379,197.2000388613342,280.5623758058206,534.0744625633429,1865960703,1173222463,22,2,1,1,22272
233,0.6809282088469906,0.836113125453227,0.369108049311095,0.34517766497461927,109.79256664954642,81.59233609174271,84.43496221379047,84.65760864352285,478.00649550674535,197.2168572081192,278.47907672836266,516.6887824139312,1493384407,1173222463,21,3,1,1,22368
234,0.6809282088469906,0.8332124728063814,0.32777374909354606,0.4075416968817984,112.79431978093373,81.8966188355911,84.24063275007785,89.92570258657031,491.51149938071086,196.9728109329248,279.8954843188402,529.0952563349109,951350272,1173222463,22,3,1,2,22464
235,0.45975344452501815,0.8542422044960116,0.3306744017403916,0.3763596809282089,109.4684962013815,81.95027877969405,84.87970540114978,85.11016734194185,485.1233561015164,197.01348670183842,279.4048724333589,523.1827674403628,988119322,1173222463,21,3,1,1,22560
236,0.514140681653372,0.8324873096446701,0.3604060913705584,0.32269760696156635,113.76030186005931,81.7286872619319,84.07006847844016,84.34431513907161,489.4653835516802,197.7661307102411,279.3852631572601,528.0335749091604,1294962556,1173222463,22,3,1,1,22656
237,0.4648295866569978,0.5192168237853517,0.36765772298767224,0.3589557650471356,110.31469919223055,82.35019857552874,83.79976089303003,84.15185699025112,489.15171149681436,197.28279595044557,279.2002563330214,527.4726976149029,482578640,1173222463,21,2,1,1,22752
238,0.514140681653372,0.5612762871646121,0.32269760696156635,0.3306744017403916,113.87572433868732,82.61547320797888,84.50000140693271,84.5612580957068,481.29767250780156,196.98655930303835,279.09874968152417,520.2826578286512,2108837904,1173222463,22,2,1,1,22848
239,0.6265409717186367,0.5308194343727338,0.32414793328498914,0.32414793328498914,113.67670928463302,82.43034377767106,84.08632313697336,84.18247052086873,483.9937189949475,197.80281864345054,279.1474863360735,522.5869834870954,503684117,1173222463,22,2,1,1,22944
