,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,0.45692630156853775,0.467005076142132,0.03483217069965073,0.3567802755620014,0.5076142131979695,-2.0015903863456765,3.2524317004779406
1,2,0.47834471547306934,0.4764321972443799,0.016286995664013013,0.4387237128353879,0.5308194343727338,0.5695891840341235,0.3135251957465588
2,3,0.488006840106517,0.4829586656997824,0.022811551466385586,0.4525018129079042,0.5547498187092096,0.7924393739013472,-0.061777992350541044
3,4,0.49769830808617016,0.49129804205946337,0.02733155955687118,0.4554024655547498,0.5924583031182016,0.7196710084784933,-0.10032052718112316
4,5,0.5067102701986064,0.5025380710659898,0.03341191526034102,0.4510514865844815,0.612037708484409,0.5481717871451461,-0.4687703628211364
5,6,0.5151418096849569,0.5097897026831038,0.03768693591626362,0.453952139231327,0.6272661348803481,0.41620844013073477,-0.8014503145398435
6,7,0.5312698839132955,0.5329949238578681,0.04034339344317628,0.4575779550398839,0.6265409717186367,0.10202624627291704,-0.9271076359736199
