,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,148.59005279282778,148.76875453649606,0.8665795126649729,146.04765921273952,150.17076868188536,-0.5263516767614503,-0.47364295727721517
1,2,210.14029142577922,210.37348462281705,1.1728780026808499,206.99384386149276,212.05153527450705,-0.5797870130147299,-0.5257937787049713
2,3,257.37141737458086,257.6693051182321,1.4026296911500789,253.802533212477,259.5023809049285,-0.610988074615339,-0.5094919175917316
3,4,297.1903043147303,297.5679126285871,1.5909887353979524,293.1420449203867,299.58654757178897,-0.6343890634081161,-0.4825050517036895
4,5,332.2733287553785,332.69446992443415,1.7531092126031838,327.7330037452381,334.6934242208953,-0.6557572845303051,-0.44031089877034235
5,6,363.9926192692697,364.4030892645684,1.89689305396332,359.0871966394548,366.5952211601854,-0.6746773641194075,-0.38814283653728987
6,7,393.1623729675815,393.500105415608,2.0287448837106075,387.9463315432476,395.8656903811336,-0.6934370084322571,-0.33977293857242996
