,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,59.436021117131105,59.50750181459843,0.34663180506598984,58.41906368509581,60.06830747275414,-0.5263516767614059,-0.47364295727723604
1,2,84.0561165703117,84.14939384912682,0.4691512010723406,82.7975375445971,84.82061410980285,-0.579787013014815,-0.5257937787049016
2,3,102.94856694983235,103.06772204729285,0.5610518764600312,101.5210132849908,103.80095236197138,-0.61098807461541,-0.5094919175916757
3,4,118.87612172589212,119.02716505143488,0.6363954941591804,117.25681796815468,119.83461902871558,-0.6343890634080708,-0.48250505170371927
4,5,132.90933150215142,133.07778796977365,0.7012436850412729,131.0932014980952,133.8773696883581,-0.6557572845304086,-0.44031089877027174
5,6,145.59704770770787,145.76123570582735,0.7587572215853268,143.6348786557819,146.6380884640741,-0.6746773641193845,-0.38814283653732007
6,7,157.26494918703258,157.4000421662432,0.8114979534842419,155.178532617299,158.34627615245338,-0.693437008432197,-0.3397729385724926
