,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,0.40039138943248526,0.3981145757795504,0.023720459194835047,0.3567802755620014,0.4981870920957215,0.6210051290411264,0.4191800073269021
1,2,0.40874698180717034,0.4060913705583756,0.02559850767259084,0.3582306018854242,0.5039883973894126,0.5237520697638925,0.15442107097046076
2,3,0.4220409647267053,0.4198694706308919,0.03209646736532571,0.3567802755620014,0.5351704133430022,0.4472555610082855,0.05981874813698207
3,4,0.42852735788204277,0.4274836838288615,0.0321763288824367,0.3611312545322697,0.5308194343727338,0.32423352886070084,0.017977009663773025
4,5,0.438701616450959,0.4358230601885424,0.03721555795260389,0.3567802755620014,0.5496736765772299,0.42321012070840397,0.053454137594674656
5,6,0.44726049472242363,0.4430746918056563,0.040676412898479807,0.369108049311095,0.5728788977519942,0.46999354157784934,-0.23422269439903998
6,7,0.4546975019240053,0.4510514865844815,0.04075651602151085,0.3567802755620014,0.5873821609862219,0.26221206614825554,-0.21266580204954755
