,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,0.531447246863421,0.5199419869470631,0.08444197492618326,0.3647570703408266,0.8005801305293692,0.7074883616601371,0.2099157234298703
1,2,0.610914104025054,0.5960841189267585,0.10372120606886404,0.4017403915881073,0.9035532994923858,0.40792253227070474,-0.5570669146092069
2,3,0.6789844519424584,0.6475707034082668,0.12342856336408396,0.4191443074691806,0.9035532994923858,0.125799897546478,-1.2403197494110827
3,4,0.7334163999054484,0.7603335750543873,0.13192193304219202,0.4387237128353879,0.9282088469905728,-0.20561403485382998,-1.4001329872429027
4,5,0.790851695094,0.8614938361131255,0.1302377676916815,0.4271211022480058,0.9535895576504714,-0.6575743968968124,-1.1292568389447362
5,6,0.8200991056321006,0.8955765047135605,0.12916277275617222,0.5148658448150834,0.9615663524292966,-0.7352603424298675,-1.259856013285084
6,7,0.8438859049692866,0.9158810732414794,0.12833446096195758,0.5453226976069616,0.9673676577229876,-0.9445753623278862,-0.9373616712537012
