,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,0.7495206969513346,0.7875271936185642,0.12212998337137207,0.3966642494561276,0.9325598259608412,-0.5054566211918688,-0.9593948798318173
1,2,0.8656416100215956,0.9220449601160261,0.11986327524610671,0.416243654822335,0.9767947788252356,-1.380770654659392,0.43823779507433924
2,3,0.9161727366618921,0.9608411892675852,0.1081923941902311,0.5997099347353154,0.9898477157360406,-1.891914579652753,1.7491574061448927
3,4,0.9363519084611717,0.977519941986947,0.10514952407989069,0.6178390137781,0.9963741841914432,-2.1064386603367096,2.547130443094468
4,5,0.9612328979006427,0.9869470630891952,0.0845410156656226,0.6352429296591733,0.9985496736765772,-3.042256050092465,7.431698604418997
5,6,0.967123922326968,0.9920232052211748,0.08359019953515923,0.6620739666424945,0.9992748368382888,-3.122897115263745,7.90312648534572
6,7,0.9647740379468387,0.9949238578680204,0.0927704181725964,0.6417693981145758,1.0,-2.79785282053845,5.916916480024792
