,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,66.1499906562431,66.17032799524527,0.5635920233943104,64.42593720955108,67.78637830639465,-0.16727102698105775,0.18207262473760233
1,2,89.6326923968561,89.61970686437397,0.5267210204703733,88.13835855107757,91.09138414049536,-0.06190571509652956,-0.3091796859289575
2,3,107.16008627378066,107.21630490621811,0.5522226512186418,105.64441272243332,108.39540895590588,-0.3370488857093367,-0.5282007485351206
3,4,122.19219820335876,122.23713115352908,0.5331625671339753,120.75353418885328,123.49387832519952,-0.3574756935691182,-0.25072949335713757
4,5,135.60685380514676,135.6739941938401,0.5362936617933315,134.19962400503414,136.64989324242185,-0.46536033711552444,-0.31244352527367525
5,6,147.82049067510383,147.86768446141224,0.5517483844970154,146.27396924002875,148.86442353911752,-0.5120540174334351,-0.2102148340744603
6,7,159.09446476465715,159.1401747540868,0.5645432466316548,157.44074353078253,160.19289983581666,-0.5596141236401563,-0.06411808666612728
