,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,0.951237247558783,0.95286439448876,0.013812726126484372,0.8883248730964467,0.9796954314720812,-0.8617527465208219,1.4835168155170186
1,2,0.9899891623967042,0.9927483683828862,0.024116720313125006,0.662799129804206,1.0,-12.951253240909116,171.00982046361483
2,3,0.9924247418479076,0.997824510514866,0.041643600652157116,0.6555474981870921,1.0,-7.604273801329128,56.26741656872722
3,4,0.9917087007560126,0.9992748368382888,0.04713093736231291,0.6744017403915881,1.0,-6.52167319063348,40.79538843886161
4,5,0.9893435164186181,0.9992748368382888,0.0556106653053718,0.6432197244379986,1.0,-5.496440330162515,28.436173545666165
5,6,0.9911852389009751,0.9992748368382888,0.05028389887988551,0.6744017403915881,1.0,-6.10823758013785,35.5352437782874
6,7,0.9893003084468379,1.0,0.056041911837812354,0.6410442349528644,1.0,-5.478665401889415,28.237855385318298
