,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,58.11603057958912,58.11159554232551,0.34651159885323846,57.07913775645709,59.22780077887815,0.06268194728526313,0.6150170698738879
1,2,81.29885691661961,81.34143658816157,0.41648342159864454,79.87615664634893,82.44604350314788,-0.19190172336060415,-0.17409444207552927
2,3,98.14129218926847,98.16534345450536,0.4167214414534276,96.90619033387956,99.15967164814724,-0.20747318034390164,-0.37760167481241513
3,4,111.86419757474131,111.88341248733255,0.42520648873849376,110.48582340602417,112.98197787379168,-0.21271395053802217,0.14738141718555653
4,5,123.45512870444392,123.47196566835356,0.4344298528483222,122.30865119348948,124.4395985558603,-0.2643527104392419,-0.36622784286302235
5,6,133.57651362920433,133.6098822871068,0.46494965099684815,132.17051355455328,134.64418250543034,-0.4321373375891942,-0.04175057580198338
6,7,142.59792179818658,142.64420645914808,0.4638276548642549,141.16807273931337,143.53506432367385,-0.5341361055817208,0.13528694032034494
