,Window,Mean,Median,Std,Min,Max,Skewness,Kurtosis
0,1,0.5074016311204267,0.4981870920957215,0.041553136829056266,0.4242204496011603,0.6997824510514866,1.351624506599124,2.446332483382886
1,2,0.7447844034138451,0.747643219724438,0.08942765776045604,0.4865844815083394,0.9028281363306744,-0.34747769464322753,-0.4352303106450637
2,3,0.9138014731000424,0.9216823785351704,0.030667029051095328,0.7701232777374909,0.95286439448876,-2.5300591399981314,6.9874387285415605
3,4,0.9540502966758679,0.9550398839738942,0.019123497381604737,0.6265409717186367,0.9753444525018128,-13.98305192217472,239.37313544642197
4,5,0.9726727987481395,0.9731689630166788,0.006156298798269078,0.9550398839738942,0.9891225525743292,-0.18994725702905857,-0.02442858385871194
5,6,0.9829989525420997,0.9833212472806382,0.004321741039249514,0.9673676577229876,0.9934735315445976,-0.3011445592351361,-0.09002621869728644
6,7,0.9892296100884537,0.9898477157360406,0.003365101641286692,0.9796954314720812,0.9956490210297316,-0.39860998071559717,-0.39524140879898173
